id;role;skill;expert2;expert3;adjudicated;comment;confirmed
85;Data Scientist;сквозное тестирование;0;1;1;смежный: встречается в задачах роли эпизодически;
86;Data Scientist;a/b тестирование;2;1;1;процессный/софтовый навык — смежный, не ядро;
91;Data Scientist;определение метрик успеха;2;1;1;процессный/софтовый навык — смежный, не ядро;
93;Data Scientist;ведение бэклога;0;1;1;смежный: встречается в задачах роли эпизодически;
109;Data Scientist;data engineering;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
111;Data Scientist;язык запросов graphql;1;0;1;процессный/софтовый навык — смежный, не ядро;
113;Data Scientist;воплощённый ии;1;0;1;процессный/софтовый навык — смежный, не ядро;
114;Data Scientist;кодирование категорий;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
115;Data Scientist;веб-аналитика;0;1;1;смежный: встречается в задачах роли эпизодически;
118;Data Scientist;randomizedsearchcv;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
119;Data Scientist;hadoop java;0;2;1;hadoop устарел, но смежен с DS;
121;Data Scientist;cot;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
122;Data Scientist;conversational ai;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
124;Data Scientist;теория алгоритмов;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
125;Backend-разработчик;data science python;0;1;1;смежный: встречается в задачах роли эпизодически;
130;Backend-разработчик;контейнеризация python;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
133;Backend-разработчик;cmake;0;2;1;cmake смежен (C++-сборки);
134;Backend-разработчик;apache;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
140;Backend-разработчик;эффективные промпты;0;1;1;смежный: встречается в задачах роли эпизодически;
141;Backend-разработчик;llm-as-a-judge;0;1;1;смежный: встречается в задачах роли эпизодически;
142;Backend-разработчик;визуально-языковые модели;0;1;1;смежный: встречается в задачах роли эпизодически;
144;Backend-разработчик;question answering;0;1;1;смежный: встречается в задачах роли эпизодически;
146;Backend-разработчик;работа в команде;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
147;Backend-разработчик;коллаборация;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
148;Backend-разработчик;кросс-функциональное взаимодействие;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
149;Backend-разработчик;метарефлексия;0;1;1;смежный: встречается в задачах роли эпизодически;
150;Backend-разработчик;ms sql server;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
155;Backend-разработчик;c;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
156;Backend-разработчик;информационная безопасность;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
157;Backend-разработчик;программные средства;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
158;Backend-разработчик;программная документация;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
159;Backend-разработчик;оценка трудоемкости;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
160;Backend-разработчик;справедливый алгоритм;0;1;1;смежный: встречается в задачах роли эпизодически;
161;Backend-разработчик;ai safety;0;1;1;смежный: встречается в задачах роли эпизодически;
162;Backend-разработчик;валидация модели;0;1;1;смежный: встречается в задачах роли эпизодически;
163;Backend-разработчик;explainable ai;0;1;1;смежный: встречается в задачах роли эпизодически;
164;Backend-разработчик;trustworthy ai;0;1;1;смежный: встречается в задачах роли эпизодически;
167;Backend-разработчик;c++;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
169;Backend-разработчик;rust;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
170;Backend-разработчик;qgis;0;1;1;смежный: встречается в задачах роли эпизодически;
171;Backend-разработчик;postgis;0;1;1;смежный: встречается в задачах роли эпизодически;
172;Backend-разработчик;arcgis;0;1;1;смежный: встречается в задачах роли эпизодически;
173;Backend-разработчик;гис;0;1;1;смежный: встречается в задачах роли эпизодически;
174;Backend-разработчик;дзз;0;1;1;смежный: встречается в задачах роли эпизодически;
175;Backend-разработчик;ms project;0;1;1;смежный: встречается в задачах роли эпизодически;
180;Backend-разработчик;теорема байеса;0;1;1;смежный: встречается в задачах роли эпизодически;
181;Backend-разработчик;непараметрические тесты;0;1;1;смежный: встречается в задачах роли эпизодически;
182;Backend-разработчик;bayesian regression;0;1;1;смежный: встречается в задачах роли эпизодически;
183;Backend-разработчик;условная вероятность;0;1;1;смежный: встречается в задачах роли эпизодически;
184;Backend-разработчик;сетевой анализ;0;1;1;смежный: встречается в задачах роли эпизодически;
190;Backend-разработчик;разработка мобильных приложений;0;1;1;смежный: встречается в задачах роли эпизодически;
191;Backend-разработчик;ios;0;1;1;смежный: встречается в задачах роли эпизодически;
192;Backend-разработчик;swiftui;0;1;1;смежный: встречается в задачах роли эпизодически;
193;Backend-разработчик;core data;0;1;1;смежный: встречается в задачах роли эпизодически;
194;Backend-разработчик;objective-c;0;1;1;смежный: встречается в задачах роли эпизодически;
195;Backend-разработчик;azure;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
196;Backend-разработчик;firebase;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
197;Backend-разработчик;supabase;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
198;Backend-разработчик;netlify;0;2;0;netlify — фронтенд-хостинг, не бэкенд;
199;Backend-разработчик;gnn;0;1;1;смежный: встречается в задачах роли эпизодически;
200;Backend-разработчик;мультиагентные системы;0;1;1;смежный: встречается в задачах роли эпизодически;
201;Backend-разработчик;adversarial training;0;1;1;смежный: встречается в задачах роли эпизодически;
202;Backend-разработчик;model selection;0;1;1;смежный: встречается в задачах роли эпизодически;
203;Backend-разработчик;graph neural networks;0;1;1;смежный: встречается в задачах роли эпизодически;
205;Backend-разработчик;opengl;0;1;1;смежный: встречается в задачах роли эпизодически;
208;Backend-разработчик;appium;0;2;0;appium — мобильное тестирование, не бэкенд;
209;Backend-разработчик;юзабилити-тестирование;0;2;0;юзабилити — не задача бэкенда;
210;Backend-разработчик;тестирование безопасности;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
211;Backend-разработчик;jest;0;2;1;jest смежен (Node-тесты);
212;Backend-разработчик;mocha;0;2;1;mocha смежен (Node-тесты);
214;Backend-разработчик;управление знаниями;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
215;Backend-разработчик;проектирование ии-решений;0;1;1;смежный: встречается в задачах роли эпизодически;
216;Backend-разработчик;jira;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
217;Backend-разработчик;управление ит-проектами;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
219;Backend-разработчик;xgboost;0;1;1;смежный: встречается в задачах роли эпизодически;
221;Backend-разработчик;flux;1;0;1;процессный/софтовый навык — смежный, не ядро;
222;Backend-разработчик;lightgbm;0;1;1;смежный: встречается в задачах роли эпизодически;
223;Backend-разработчик;swift;0;1;1;смежный: встречается в задачах роли эпизодически;
224;Backend-разработчик;современный c++;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
225;Backend-разработчик;системное программирование;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
226;Backend-разработчик;c++ разработка;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
228;Backend-разработчик;неструктурированные данные;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
229;Backend-разработчик;стохастическая оптимизация;0;1;1;смежный: встречается в задачах роли эпизодически;
231;Backend-разработчик;gan;0;1;1;смежный: встречается в задачах роли эпизодически;
232;Backend-разработчик;риск-менеджмент;0;2;0;риск-менеджмент — не задача бэкенда;
233;Backend-разработчик;парсинг данных;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
234;Backend-разработчик;графическое представление данных;0;1;1;смежный: встречается в задачах роли эпизодически;
235;Backend-разработчик;управление рисками ии;0;2;0;управление рисками ИИ — не задача бэкенда;
236;Backend-разработчик;teamcity;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
239;Backend-разработчик;когнитивные искажения;0;1;1;смежный: встречается в задачах роли эпизодически;
240;Backend-разработчик;adversarial defense;0;1;1;смежный: встречается в задачах роли эпизодически;
241;Backend-разработчик;eslint;0;1;1;смежный: встречается в задачах роли эпизодически;
244;Backend-разработчик;вариационный вывод;0;1;1;смежный: встречается в задачах роли эпизодически;
245;Backend-разработчик;кластеры данных;0;1;1;смежный: встречается в задачах роли эпизодически;
247;Backend-разработчик;коллективный интеллект;0;1;1;смежный: встречается в задачах роли эпизодически;
248;Backend-разработчик;дискриминация данных;0;1;1;смежный: встречается в задачах роли эпизодически;
250;DevOps-инженер;power automate;0;1;1;смежный: встречается в задачах роли эпизодически;
252;DevOps-инженер;анализ данных на python;0;1;1;смежный: встречается в задачах роли эпизодически;
260;DevOps-инженер;d3.js;0;1;1;смежный: встречается в задачах роли эпизодически;
261;DevOps-инженер;sketch;0;1;1;смежный: встречается в задачах роли эпизодически;
262;DevOps-инженер;next.js;0;1;1;смежный: встречается в задачах роли эпизодически;
263;DevOps-инженер;zustand;0;1;1;смежный: встречается в задачах роли эпизодически;
264;DevOps-инженер;улучшение промптов;0;1;1;смежный: встречается в задачах роли эпизодически;
265;DevOps-инженер;prompt engineering;0;1;1;смежный: встречается в задачах роли эпизодически;
266;DevOps-инженер;составление запросов к llm;0;1;1;смежный: встречается в задачах роли эпизодически;
267;DevOps-инженер;gpt;0;1;1;смежный: встречается в задачах роли эпизодически;
268;DevOps-инженер;agents;0;1;1;смежный: встречается в задачах роли эпизодически;
270;DevOps-инженер;неопределенность;0;1;1;смежный: встречается в задачах роли эпизодически;
273;DevOps-инженер;перенос методов;0;1;1;смежный: встречается в задачах роли эпизодически;
274;DevOps-инженер;работа с базами данных;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
275;DevOps-инженер;nosql;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
276;DevOps-инженер;amazon redshift;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
277;DevOps-инженер;arenadata db;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
278;DevOps-инженер;data vault;0;2;0;data vault — моделирование, не DevOps-ядро;
279;DevOps-инженер;наладка программного обеспечения;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
280;DevOps-инженер;программные средства;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
282;DevOps-инженер;программная документация;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
284;DevOps-инженер;ai safety;0;1;1;смежный: встречается в задачах роли эпизодически;
285;DevOps-инженер;этика ии;0;1;1;смежный: встречается в задачах роли эпизодически;
286;DevOps-инженер;этический аудит;0;1;1;смежный: встречается в задачах роли эпизодически;
287;DevOps-инженер;безопасность алгоритмов;0;1;1;смежный: встречается в задачах роли эпизодически;
300;DevOps-инженер;uml;0;1;1;смежный: встречается в задачах роли эпизодически;
312;DevOps-инженер;mlops;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
313;DevOps-инженер;restful;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
322;DevOps-инженер;directus;0;1;1;смежный: встречается в задачах роли эпизодически;
323;DevOps-инженер;serverless framework;2;1;1;процессный/софтовый навык — смежный, не ядро;
328;DevOps-инженер;статистическая значимость;0;1;1;смежный: встречается в задачах роли эпизодически;
334;DevOps-инженер;swagger;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
335;DevOps-инженер;selenium;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
336;DevOps-инженер;тестирование безопасности;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
337;DevOps-инженер;тестирование по;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
338;DevOps-инженер;a/b тестирование;0;2;0;a/b — аналитика, не DevOps;
339;DevOps-инженер;системное проектирование;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
340;DevOps-инженер;анализ бизнес-проблем;0;2;0;бизнес-анализ — не DevOps;
341;DevOps-инженер;архитектура ии;0;1;1;смежный: встречается в задачах роли эпизодически;
342;DevOps-инженер;ведение бэклога;1;0;1;процессный/софтовый навык — смежный, не ядро;
344;DevOps-инженер;hibernate;0;1;1;смежный: встречается в задачах роли эпизодически;
345;DevOps-инженер;quarkus;0;1;1;смежный: встречается в задачах роли эпизодически;
346;DevOps-инженер;rspec;0;1;1;смежный: встречается в задачах роли эпизодически;
347;DevOps-инженер;babel;0;1;1;смежный: встречается в задачах роли эпизодически;
351;DevOps-инженер;scss;0;1;1;смежный: встречается в задачах роли эпизодически;
352;DevOps-инженер;protobuf;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
353;DevOps-инженер;xslt;0;1;1;смежный: встречается в задачах роли эпизодически;
356;DevOps-инженер;оценка распределений;0;1;1;смежный: встречается в задачах роли эпизодически;
357;DevOps-инженер;байесовская статистика;0;1;1;смежный: встречается в задачах роли эпизодически;
362;DevOps-инженер;matplotlib;0;1;1;смежный: встречается в задачах роли эпизодически;
364;DevOps-инженер;r;0;1;1;смежный: встречается в задачах роли эпизодически;
366;DevOps-инженер;веб-аналитика;0;1;1;смежный: встречается в задачах роли эпизодически;
367;DevOps-инженер;parameter-efficient fine-tuning;0;1;1;смежный: встречается в задачах роли эпизодически;
368;DevOps-инженер;transformer;0;1;1;смежный: встречается в задачах роли эпизодически;
370;DevOps-инженер;учет ролевых особенностей;0;1;1;смежный: встречается в задачах роли эпизодически;
371;DevOps-инженер;видео-языковые модели;0;1;1;смежный: встречается в задачах роли эпизодически;
372;DevOps-инженер;статистическое моделирование;0;1;1;смежный: встречается в задачах роли эпизодически;
374;Системный аналитик;sas;0;1;1;смежный: встречается в задачах роли эпизодически;
375;Системный аналитик;ssrs;0;1;1;смежный: встречается в задачах роли эпизодически;
376;Системный аналитик;feature selection;0;1;1;смежный: встречается в задачах роли эпизодически;
377;Системный аналитик;обработка выбросов;0;1;1;смежный: встречается в задачах роли эпизодически;
378;Системный аналитик;feature engineering;0;1;1;смежный: встречается в задачах роли эпизодически;
380;Системный аналитик;администрирование windows server;0;1;1;смежный: встречается в задачах роли эпизодически;
381;Системный аналитик;vault;0;1;1;смежный: встречается в задачах роли эпизодически;
382;Системный аналитик;vagrant;0;1;1;смежный: встречается в задачах роли эпизодически;
383;Системный аналитик;kibana;0;1;1;смежный: встречается в задачах роли эпизодически;
384;Системный аналитик;scss;0;1;1;смежный: встречается в задачах роли эпизодически;
385;Системный аналитик;tailwind css;0;1;1;смежный: встречается в задачах роли эпизодически;
386;Системный аналитик;gatsby;0;1;1;смежный: встречается в задачах роли эпизодически;
387;Системный аналитик;redwoodjs;0;1;1;смежный: встречается в задачах роли эпизодически;
388;Системный аналитик;storybook;0;1;1;смежный: встречается в задачах роли эпизодически;
389;Системный аналитик;structured outputs;0;1;1;смежный: встречается в задачах роли эпизодически;
390;Системный аналитик;multimodal;0;1;1;смежный: встречается в задачах роли эпизодически;
391;Системный аналитик;nltk;0;1;1;смежный: встречается в задачах роли эпизодически;
392;Системный аналитик;fine-tuning;0;1;1;смежный: встречается в задачах роли эпизодически;
393;Системный аналитик;отладка промптов;0;1;1;смежный: встречается в задачах роли эпизодически;
395;Системный аналитик;этика разработки;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
396;Системный аналитик;критический анализ ии;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
398;Системный аналитик;когнитивная предвзятость;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
399;Системный аналитик;greenplum;0;1;1;смежный: встречается в задачах роли эпизодически;
402;Системный аналитик;amazon redshift;0;1;1;смежный: встречается в задачах роли эпизодически;
403;Системный аналитик;trino;0;1;1;смежный: встречается в задачах роли эпизодически;
409;Системный аналитик;безопасность алгоритмов;0;2;1;безопасность алгоритмов смежна с анализом требований;
411;Системный аналитик;регуляторика ии;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
412;Системный аналитик;справедливый алгоритм;0;2;0;fairness — ML-этика, не СА;
413;Системный аналитик;оценка рисков ии;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
419;Системный аналитик;arcgis;0;1;1;смежный: встречается в задачах роли эпизодически;
420;Системный аналитик;дзз;0;1;1;смежный: встречается в задачах роли эпизодически;
421;Системный аналитик;гис;0;1;1;смежный: встречается в задачах роли эпизодически;
422;Системный аналитик;qgis;0;1;1;смежный: встречается в задачах роли эпизодически;
423;Системный аналитик;postgis;0;1;1;смежный: встречается в задачах роли эпизодически;
428;Системный аналитик;1c программирование;0;1;1;смежный: встречается в задачах роли эпизодически;
429;Системный аналитик;байесовские методы;0;1;1;смежный: встречается в задачах роли эпизодически;
430;Системный аналитик;гауссовские процессы;0;1;1;смежный: встречается в задачах роли эпизодически;
431;Системный аналитик;байесовский подход;0;1;1;смежный: встречается в задачах роли эпизодически;
439;Системный аналитик;разработка мобильных приложений;0;1;1;смежный: встречается в задачах роли эпизодически;
440;Системный аналитик;swiftui;0;1;1;смежный: встречается в задачах роли эпизодически;
441;Системный аналитик;swift;0;1;1;смежный: встречается в задачах роли эпизодически;
442;Системный аналитик;objective-c;0;1;1;смежный: встречается в задачах роли эпизодически;
443;Системный аналитик;kotlin;0;1;1;смежный: встречается в задачах роли эпизодически;
446;Системный аналитик;firebase;0;1;1;смежный: встречается в задачах роли эпизодически;
447;Системный аналитик;cloudformation;0;1;1;смежный: встречается в задачах роли эпизодически;
449;Системный аналитик;градиентный бустинг;0;1;1;смежный: встречается в задачах роли эпизодически;
450;Системный аналитик;деревья решений;0;1;1;смежный: встречается в задачах роли эпизодически;
451;Системный аналитик;knn;0;1;1;смежный: встречается в задачах роли эпизодически;
452;Системный аналитик;подбор гиперпараметров;0;1;1;смежный: встречается в задачах роли эпизодически;
453;Системный аналитик;нейросетевые инновации;0;1;1;смежный: встречается в задачах роли эпизодически;
454;Системный аналитик;opengl;0;1;0;замкнутая экосистема без точек касания с ролью;
455;Системный аналитик;webgl;0;1;0;замкнутая экосистема без точек касания с ролью;
456;Системный аналитик;unity;0;1;0;замкнутая экосистема без точек касания с ролью;
457;Системный аналитик;разработка игр;0;1;0;замкнутая экосистема без точек касания с ролью;
458;Системный аналитик;unreal engine;0;1;0;замкнутая экосистема без точек касания с ролью;
460;Системный аналитик;тестирование безопасности;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
461;Системный аналитик;playwright;0;2;0;playwright — не задача аналитика;
462;Системный аналитик;a/b тестирование;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
463;Системный аналитик;testng;0;2;0;testng — не задача аналитика;
465;Системный аналитик;управление проектами ии;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
467;Системный аналитик;task management;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
470;Системный аналитик;webpack;0;1;1;смежный: встречается в задачах роли эпизодически;
471;Системный аналитик;three.js;0;1;0;замкнутая экосистема без точек касания с ролью;
472;Системный аналитик;quarkus;0;1;1;смежный: встречается в задачах роли эпизодически;
474;Системный аналитик;typescript;0;1;1;смежный: встречается в задачах роли эпизодически;
475;Системный аналитик;llvm;0;1;1;смежный: встречается в задачах роли эпизодически;
476;Системный аналитик;shell script;0;2;0;shell — не задача аналитика;
477;Системный аналитик;современный c++;0;1;1;смежный: встречается в задачах роли эпизодически;
478;Системный аналитик;xpath;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
479;Системный аналитик;мета-обучение;0;1;1;смежный: встречается в задачах роли эпизодически;
481;Системный аналитик;openai api;0;1;1;смежный: встречается в задачах роли эпизодически;
482;Системный аналитик;presto;0;1;1;смежный: встречается в задачах роли эпизодически;
483;Системный аналитик;deep learning research;0;1;1;смежный: встречается в задачах роли эпизодически;
486;Системный аналитик;механизм внимания;0;1;1;смежный: встречается в задачах роли эпизодически;
487;Системный аналитик;диффузионные модели;0;1;1;смежный: встречается в задачах роли эпизодически;
488;Системный аналитик;jdbc;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
489;Системный аналитик;remix;0;1;1;смежный: встречается в задачах роли эпизодически;
492;Системный аналитик;визуально-языковые модели;0;1;1;смежный: встречается в задачах роли эпизодически;
495;Системный аналитик;ассоциативные правила;0;1;1;смежный: встречается в задачах роли эпизодически;
496;Системный аналитик;оптимизация sql-запросов;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
497;Системный аналитик;мультимодальные llm;0;1;1;смежный: встречается в задачах роли эпизодически;
498;Системный аналитик;анализ данных;1;2;1;смежный, не ядро: ежедневной работы роли не требует;
499;Backend-разработчик;1c erp;0;1;1;смежный: встречается в задачах роли эпизодически;
