id;role;skill;expert1;expert2;expert3
120;Data Scientist;rspec;;;
121;Data Scientist;cot;;;
122;Data Scientist;conversational ai;;;
123;Data Scientist;интеграция компонентов;;;
124;Data Scientist;теория алгоритмов;;;
125;Backend-разработчик;data science python;;;
126;Backend-разработчик;flink;;;
127;Backend-разработчик;t-sne;;;
128;Backend-разработчик;feature importance;;;
129;Backend-разработчик;streamlit;;;
130;Backend-разработчик;контейнеризация python;;;
131;Backend-разработчик;kibana;;;
132;Backend-разработчик;grafana;;;
133;Backend-разработчик;cmake;;;
134;Backend-разработчик;apache;;;
135;Backend-разработчик;angular;;;
136;Backend-разработчик;figma;;;
137;Backend-разработчик;webgl;;;
138;Backend-разработчик;storybook;;;
139;Backend-разработчик;framer motion;;;
140;Backend-разработчик;эффективные промпты;;;
141;Backend-разработчик;llm-as-a-judge;;;
142;Backend-разработчик;визуально-языковые модели;;;
143;Backend-разработчик;agents;;;
144;Backend-разработчик;question answering;;;
145;Backend-разработчик;рефлексивная практика;;;
146;Backend-разработчик;работа в команде;;;
147;Backend-разработчик;коллаборация;;;
148;Backend-разработчик;кросс-функциональное взаимодействие;;;
149;Backend-разработчик;метарефлексия;;;
150;Backend-разработчик;ms sql server;;;
151;Backend-разработчик;timescaledb;;;
152;Backend-разработчик;amazon redshift;;;
153;Backend-разработчик;big data;;;
154;Backend-разработчик;presto;;;
155;Backend-разработчик;c;;;
156;Backend-разработчик;информационная безопасность;;;
157;Backend-разработчик;программные средства;;;
158;Backend-разработчик;программная документация;;;
159;Backend-разработчик;оценка трудоемкости;;;
160;Backend-разработчик;справедливый алгоритм;;;
161;Backend-разработчик;ai safety;;;
162;Backend-разработчик;валидация модели;;;
163;Backend-разработчик;explainable ai;;;
164;Backend-разработчик;trustworthy ai;;;
165;Backend-разработчик;esp32;;;
166;Backend-разработчик;c++ embedded;;;
167;Backend-разработчик;c++;;;
168;Backend-разработчик;разработка драйверов;;;
169;Backend-разработчик;rust;;;
170;Backend-разработчик;qgis;;;
171;Backend-разработчик;postgis;;;
172;Backend-разработчик;arcgis;;;
173;Backend-разработчик;гис;;;
174;Backend-разработчик;дзз;;;
175;Backend-разработчик;ms project;;;
176;Backend-разработчик;1c бухгалтерия;;;
177;Backend-разработчик;sap (модули);;;
178;Backend-разработчик;uml;;;
179;Backend-разработчик;администрирование 1с;;;
180;Backend-разработчик;теорема байеса;;;
181;Backend-разработчик;непараметрические тесты;;;
182;Backend-разработчик;bayesian regression;;;
183;Backend-разработчик;условная вероятность;;;
184;Backend-разработчик;сетевой анализ;;;
185;Backend-разработчик;спецификации (openapi);;;
186;Backend-разработчик;микросервисы python;;;
187;Backend-разработчик;проектирование restful api;;;
188;Backend-разработчик;domain-driven design;;;
189;Backend-разработчик;микросервисная архитектура;;;
190;Backend-разработчик;разработка мобильных приложений;;;
191;Backend-разработчик;ios;;;
192;Backend-разработчик;swiftui;;;
193;Backend-разработчик;core data;;;
194;Backend-разработчик;objective-c;;;
195;Backend-разработчик;azure;;;
196;Backend-разработчик;firebase;;;
197;Backend-разработчик;supabase;;;
198;Backend-разработчик;netlify;;;
199;Backend-разработчик;gnn;;;
200;Backend-разработчик;мультиагентные системы;;;
201;Backend-разработчик;adversarial training;;;
202;Backend-разработчик;model selection;;;
203;Backend-разработчик;graph neural networks;;;
204;Backend-разработчик;разработка игр;;;
205;Backend-разработчик;opengl;;;
206;Backend-разработчик;unreal engine;;;
207;Backend-разработчик;unity;;;
208;Backend-разработчик;appium;;;
209;Backend-разработчик;юзабилити-тестирование;;;
210;Backend-разработчик;тестирование безопасности;;;
211;Backend-разработчик;jest;;;
212;Backend-разработчик;mocha;;;
213;Backend-разработчик;определение метрик успеха;;;
214;Backend-разработчик;управление знаниями;;;
215;Backend-разработчик;проектирование ии-решений;;;
216;Backend-разработчик;jira;;;
217;Backend-разработчик;управление ит-проектами;;;
218;Backend-разработчик;orm (prisma, sequelize);;;
219;Backend-разработчик;xgboost;;;
220;Backend-разработчик;windows forms;;;
221;Backend-разработчик;flux;;;
222;Backend-разработчик;lightgbm;;;
223;Backend-разработчик;swift;;;
224;Backend-разработчик;современный c++;;;
225;Backend-разработчик;системное программирование;;;
226;Backend-разработчик;c++ разработка;;;
227;Backend-разработчик;язык запросов graphql;;;
228;Backend-разработчик;неструктурированные данные;;;
229;Backend-разработчик;стохастическая оптимизация;;;
230;Backend-разработчик;identity server;;;
231;Backend-разработчик;gan;;;
232;Backend-разработчик;риск-менеджмент;;;
233;Backend-разработчик;парсинг данных;;;
234;Backend-разработчик;графическое представление данных;;;
235;Backend-разработчик;управление рисками ии;;;
236;Backend-разработчик;teamcity;;;
237;Backend-разработчик;openapi;;;
238;Backend-разработчик;постановка задач разработчикам;;;
239;Backend-разработчик;когнитивные искажения;;;
240;Backend-разработчик;adversarial defense;;;
241;Backend-разработчик;eslint;;;
242;Backend-разработчик;material-ui;;;
243;Backend-разработчик;blazor;;;
244;Backend-разработчик;вариационный вывод;;;
245;Backend-разработчик;кластеры данных;;;
246;Backend-разработчик;jpa;;;
247;Backend-разработчик;коллективный интеллект;;;
248;Backend-разработчик;дискриминация данных;;;
249;DevOps-инженер;data processing;;;
250;DevOps-инженер;power automate;;;
251;DevOps-инженер;feature store;;;
252;DevOps-инженер;анализ данных на python;;;
253;DevOps-инженер;пакетная обработка;;;
254;DevOps-инженер;jenkins;;;
255;DevOps-инженер;teamcity;;;
256;DevOps-инженер;openshift;;;
257;DevOps-инженер;автоматизация развёртывания;;;
258;DevOps-инженер;chef;;;
259;DevOps-инженер;flux;;;
260;DevOps-инженер;d3.js;;;
261;DevOps-инженер;sketch;;;
262;DevOps-инженер;next.js;;;
263;DevOps-инженер;zustand;;;
264;DevOps-инженер;улучшение промптов;;;
265;DevOps-инженер;prompt engineering;;;
266;DevOps-инженер;составление запросов к llm;;;
267;DevOps-инженер;gpt;;;
268;DevOps-инженер;agents;;;
269;DevOps-инженер;учёт компетенций коллег;;;
270;DevOps-инженер;неопределенность;;;
271;DevOps-инженер;коммуникация;;;
272;DevOps-инженер;рефлексивная практика;;;
273;DevOps-инженер;перенос методов;;;
274;DevOps-инженер;работа с базами данных;;;
275;DevOps-инженер;nosql;;;
276;DevOps-инженер;amazon redshift;;;
277;DevOps-инженер;arenadata db;;;
278;DevOps-инженер;data vault;;;
279;DevOps-инженер;наладка программного обеспечения;;;
280;DevOps-инженер;программные средства;;;
281;DevOps-инженер;резервное копирование;;;
282;DevOps-инженер;программная документация;;;
283;DevOps-инженер;мультимедиа;;;
284;DevOps-инженер;ai safety;;;
285;DevOps-инженер;этика ии;;;
286;DevOps-инженер;этический аудит;;;
287;DevOps-инженер;безопасность алгоритмов;;;
288;DevOps-инженер;identity server;;;
289;DevOps-инженер;c++ embedded;;;
290;DevOps-инженер;микроконтроллеры c++;;;
291;DevOps-инженер;fpga;;;
292;DevOps-инженер;встроенное по c++;;;
293;DevOps-инженер;c++;;;
294;DevOps-инженер;arcgis;;;
295;DevOps-инженер;дзз;;;
296;DevOps-инженер;postgis;;;
297;DevOps-инженер;qgis;;;
298;DevOps-инженер;гис;;;
299;DevOps-инженер;1c розница;;;
300;DevOps-инженер;uml;;;
301;DevOps-инженер;интеграция 1с с другими системами;;;
302;DevOps-инженер;программирование 1с;;;
303;DevOps-инженер;1c предприятие;;;
304;DevOps-инженер;проверка гипотез;;;
305;DevOps-инженер;байесовские модели;;;
306;DevOps-инженер;байесовская оптимизация;;;
307;DevOps-инженер;теорема байеса;;;
308;DevOps-инженер;теория случайных процессов;;;
309;DevOps-инженер;computer vision;;;
310;DevOps-инженер;data analysis;;;
311;DevOps-инженер;togaf;;;
312;DevOps-инженер;mlops;;;
313;DevOps-инженер;restful;;;
314;DevOps-инженер;swift;;;
315;DevOps-инженер;kotlin;;;
316;DevOps-инженер;android;;;
317;DevOps-инженер;swiftui;;;
318;DevOps-инженер;flutter;;;
319;DevOps-инженер;gcp;;;
320;DevOps-инженер;cloudformation;;;
321;DevOps-инженер;azure;;;
322;DevOps-инженер;directus;;;
323;DevOps-инженер;serverless framework;;;
324;DevOps-инженер;робототехника;;;
325;DevOps-инженер;vae;;;
326;DevOps-инженер;apriori;;;
327;DevOps-инженер;распределённый градиентный спуск;;;
328;DevOps-инженер;статистическая значимость;;;
329;DevOps-инженер;unity;;;
330;DevOps-инженер;opengl;;;
331;DevOps-инженер;webgl;;;
332;DevOps-инженер;разработка игр;;;
333;DevOps-инженер;unreal engine;;;
334;DevOps-инженер;swagger;;;
335;DevOps-инженер;selenium;;;
336;DevOps-инженер;тестирование безопасности;;;
337;DevOps-инженер;тестирование по;;;
338;DevOps-инженер;a/b тестирование;;;
339;DevOps-инженер;системное проектирование;;;
340;DevOps-инженер;анализ бизнес-проблем;;;
341;DevOps-инженер;архитектура ии;;;
342;DevOps-инженер;ведение бэклога;;;
343;DevOps-инженер;управление конфигурациями;;;
344;DevOps-инженер;hibernate;;;
345;DevOps-инженер;quarkus;;;
346;DevOps-инженер;rspec;;;
347;DevOps-инженер;babel;;;
348;DevOps-инженер;gradle;;;
349;DevOps-инженер;c++ разработка;;;
350;DevOps-инженер;typescript;;;
351;DevOps-инженер;scss;;;
352;DevOps-инженер;protobuf;;;
353;DevOps-инженер;xslt;;;
354;DevOps-инженер;устойчивость к атакам;;;
355;DevOps-инженер;hadoop java;;;
356;DevOps-инженер;оценка распределений;;;
357;DevOps-инженер;байесовская статистика;;;
358;DevOps-инженер;развёртывание nlp;;;
359;DevOps-инженер;глубокое обучение с подкреплением;;;
360;DevOps-инженер;теория категорий;;;
361;DevOps-инженер;оценка трудоемкости;;;
362;DevOps-инженер;matplotlib;;;
363;DevOps-инженер;ado.net;;;
364;DevOps-инженер;r;;;
365;DevOps-инженер;администрирование систем;;;
366;DevOps-инженер;веб-аналитика;;;
367;DevOps-инженер;parameter-efficient fine-tuning;;;
368;DevOps-инженер;transformer;;;
369;DevOps-инженер;параметрическая настройка;;;
370;DevOps-инженер;учет ролевых особенностей;;;
371;DevOps-инженер;видео-языковые модели;;;
372;DevOps-инженер;статистическое моделирование;;;
373;DevOps-инженер;приватность;;;
374;Системный аналитик;sas;;;
375;Системный аналитик;ssrs;;;
376;Системный аналитик;feature selection;;;
377;Системный аналитик;обработка выбросов;;;
378;Системный аналитик;feature engineering;;;
379;Системный аналитик;powershell;;;
380;Системный аналитик;администрирование windows server;;;
381;Системный аналитик;vault;;;
382;Системный аналитик;vagrant;;;
383;Системный аналитик;kibana;;;
384;Системный аналитик;scss;;;
385;Системный аналитик;tailwind css;;;
386;Системный аналитик;gatsby;;;
387;Системный аналитик;redwoodjs;;;
388;Системный аналитик;storybook;;;
389;Системный аналитик;structured outputs;;;
390;Системный аналитик;multimodal;;;
391;Системный аналитик;nltk;;;
392;Системный аналитик;fine-tuning;;;
393;Системный аналитик;отладка промптов;;;
394;Системный аналитик;soft skills;;;
395;Системный аналитик;этика разработки;;;
396;Системный аналитик;критический анализ ии;;;
397;Системный аналитик;работа в команде;;;
398;Системный аналитик;когнитивная предвзятость;;;
399;Системный аналитик;greenplum;;;
400;Системный аналитик;big data;;;
401;Системный аналитик;data vault;;;
402;Системный аналитик;amazon redshift;;;
403;Системный аналитик;trino;;;
404;Системный аналитик;технологический стек;;;
405;Системный аналитик;нефункциональные требования;;;
406;Системный аналитик;программно-аппаратные комплексы;;;
407;Системный аналитик;технические средства;;;
408;Системный аналитик;межсетевой экран;;;
409;Системный аналитик;безопасность алгоритмов;;;
410;Системный аналитик;соответствие стандартам;;;
411;Системный аналитик;регуляторика ии;;;
412;Системный аналитик;справедливый алгоритм;;;
413;Системный аналитик;оценка рисков ии;;;
414;Системный аналитик;fpga;;;
415;Системный аналитик;микроконтроллеры c++;;;
416;Системный аналитик;rust;;;
417;Системный аналитик;встроенное по c++;;;
418;Системный аналитик;c++;;;
419;Системный аналитик;arcgis;;;
420;Системный аналитик;дзз;;;
421;Системный аналитик;гис;;;
422;Системный аналитик;qgis;;;
423;Системный аналитик;postgis;;;
424;Системный аналитик;enterprise java;;;
425;Системный аналитик;uml;;;
426;Системный аналитик;ms project;;;
427;Системный аналитик;erp;;;
428;Системный аналитик;1c программирование;;;
429;Системный аналитик;байесовские методы;;;
430;Системный аналитик;гауссовские процессы;;;
431;Системный аналитик;байесовский подход;;;
432;Системный аналитик;байесовская оптимизация гиперпараметров;;;
433;Системный аналитик;hyperopt;;;
434;Системный аналитик;микросервисная архитектура;;;
435;Системный аналитик;web application development;;;
436;Системный аналитик;jamstack;;;
437;Системный аналитик;data mining;;;
438;Системный аналитик;etl;;;
439;Системный аналитик;разработка мобильных приложений;;;
440;Системный аналитик;swiftui;;;
441;Системный аналитик;swift;;;
442;Системный аналитик;objective-c;;;
443;Системный аналитик;kotlin;;;
444;Системный аналитик;headless cms;;;
445;Системный аналитик;gcp;;;
446;Системный аналитик;firebase;;;
447;Системный аналитик;cloudformation;;;
448;Системный аналитик;azure;;;
449;Системный аналитик;градиентный бустинг;;;
450;Системный аналитик;деревья решений;;;
451;Системный аналитик;knn;;;
452;Системный аналитик;подбор гиперпараметров;;;
453;Системный аналитик;нейросетевые инновации;;;
454;Системный аналитик;opengl;;;
455;Системный аналитик;webgl;;;
456;Системный аналитик;unity;;;
457;Системный аналитик;разработка игр;;;
458;Системный аналитик;unreal engine;;;
459;Системный аналитик;тестирование по;;;
460;Системный аналитик;тестирование безопасности;;;
461;Системный аналитик;playwright;;;
462;Системный аналитик;a/b тестирование;;;
463;Системный аналитик;testng;;;
464;Системный аналитик;atlassian confluence;;;
465;Системный аналитик;управление проектами ии;;;
466;Системный аналитик;системное проектирование;;;
467;Системный аналитик;task management;;;
468;Системный аналитик;разработка технических заданий;;;
469;Системный аналитик;kafka streams;;;
470;Системный аналитик;webpack;;;
471;Системный аналитик;three.js;;;
472;Системный аналитик;quarkus;;;
473;Системный аналитик;socket.io;;;
474;Системный аналитик;typescript;;;
475;Системный аналитик;llvm;;;
476;Системный аналитик;shell script;;;
477;Системный аналитик;современный c++;;;
478;Системный аналитик;xpath;;;
479;Системный аналитик;мета-обучение;;;
480;Системный аналитик;1c документооборот;;;
481;Системный аналитик;openai api;;;
482;Системный аналитик;presto;;;
483;Системный аналитик;deep learning research;;;
484;Системный аналитик;robot framework;;;
485;Системный аналитик;dom;;;
486;Системный аналитик;механизм внимания;;;
487;Системный аналитик;диффузионные модели;;;
488;Системный аналитик;jdbc;;;
489;Системный аналитик;remix;;;
490;Системный аналитик;спецификации (openapi);;;
491;Системный аналитик;net core;;;
492;Системный аналитик;визуально-языковые модели;;;
493;Системный аналитик;generative ai;;;
494;Системный аналитик;командная работа;;;
495;Системный аналитик;ассоциативные правила;;;
496;Системный аналитик;оптимизация sql-запросов;;;
497;Системный аналитик;мультимодальные llm;;;
498;Системный аналитик;анализ данных;;;
499;Backend-разработчик;1c erp;;;
